chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538184445,2018-09-29T01:27:25Z,KK4EHJ-12,KK4EHJ-6,40(10/12),0,`,KK4EHJ-12,/>,34.536526,-83.917769,0.0,189.0,441.0,,,,Byonics TinyTrack3,In Service,"Seq=244, A1=421, A2=631",
0,1538184464,2018-09-29T01:27:44Z,AB4CZ,N3DAB-1,66(22/19),0,!,AB4CZ,/-,33.992333,-84.238000,,,,,,,Open Track,,,
0,1538184466,2018-09-29T01:27:46Z,AB4CZ,KK4EHJ-6,11(9/8),0,!,AB4CZ,/-,33.992333,-84.238000,,,,,,,Open Track,,,
0,1538184499,2018-09-29T01:28:19Z,WX4BK-13,N3DAB-1,65(23/18),0,},WX4BK-13,/R,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1538184499,2018-09-29T01:28:19Z,K4MFC-2,N3DAB-1,69(23/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538184564,2018-09-29T01:29:24Z,KK4EHJ-12,KK4EHJ-12,76(13/20),0,`,KK4EHJ-12,/>,34.536520,-83.917779,0.0,189.0,440.0,,,,Byonics TinyTrack3,In Service,"Seq=245, A1=422, A2=632",MT-RTG
0,1538184565,2018-09-29T01:29:25Z,KK4EHJ-12,KK4EHJ-6,10(9/8),0,`,KK4EHJ-12,/>,34.536520,-83.917779,0.0,189.0,440.0,,,,Byonics TinyTrack3,In Service,"Seq=245, A1=422, A2=632",MT-RTG
0,1538184568,2018-09-29T01:29:28Z,KK4EHJ-12,N3DAB-1,67(23/19),0,`,KK4EHJ-12,/>,34.536520,-83.917779,0.0,189.0,440.0,,,,Byonics TinyTrack3,In Service,"Seq=245, A1=422, A2=632",MT-RTG
0,1538184683,2018-09-29T01:31:23Z,KK4EHJ-12,KK4EHJ-12,78(13/20),0,`,KK4EHJ-12,/>,34.536520,-83.917769,0.0,189.0,439.0,,,,Byonics TinyTrack3,In Service,"Seq=246, A1=421, A2=631",
0,1538184685,2018-09-29T01:31:25Z,KK4EHJ-12,KK4EHJ-6,12(8/8),0,`,KK4EHJ-12,/>,34.536520,-83.917769,0.0,189.0,439.0,,,,Byonics TinyTrack3,In Service,"Seq=246, A1=421, A2=631",
0,1538184715,2018-09-29T01:31:55Z,N3DAB-1,N3DAB-1,66(22/19),0,!,N3DAB-1,I&,34.484167,-84.347667,,,,,,,>40 APRSmax,,,Bent Tree iGate
0,1538184803,2018-09-29T01:33:23Z,KK4EHJ-12,KK4EHJ-12,76(13/20),0,`,KK4EHJ-12,/>,34.536520,-83.917769,0.0,189.0,440.0,,,,Byonics TinyTrack3,In Service,"Seq=247, A1=422, A2=631",
0,1538184804,2018-09-29T01:33:24Z,KK4EHJ-12,KK4EHJ-6,13(7/9),0,`,KK4EHJ-12,/>,34.536520,-83.917769,0.0,189.0,440.0,,,,Byonics TinyTrack3,In Service,"Seq=247, A1=422, A2=631",
0,1538184811,2018-09-29T01:33:31Z,KK4EHJ-12,N3DAB-1,67(22/19),0,`,KK4EHJ-12,/>,34.536520,-83.917769,0.0,189.0,440.0,,,,Byonics TinyTrack3,In Service,"Seq=247, A1=422, A2=631",
